OrderID,Status,StatusTimestamp
R00001,Submitted,08/10/2023 11:31:00
R00001,In Progress,08/10/2023 11:36:00
R00001,Delivered,08/10/2023 11:48:00
R00002,Submitted,05/08/2023 21:42:00
R00002,In Progress,05/08/2023 21:48:00
R00002,Delivered,05/08/2023 21:57:00
R00003,Submitted,06/04/2023 14:13:00
R00003,In Progress,06/04/2023 14:14:00
R00003,Delivered,06/04/2023 14:25:00
R00004,Submitted,28/11/2023 11:19:00
R00004,In Progress,28/11/2023 11:20:00
R00004,Delivered,28/11/2023 11:37:00
R00005,Submitted,12/05/2023 10:27:00
R00005,In Progress,12/05/2023 10:28:00
R00005,Delivered,12/05/2023 10:37:00
R00006,Submitted,05/09/2023 18:15:00
R00006,In Progress,05/09/2023 18:20:00
R00006,Delivered,05/09/2023 18:28:00
R00007,Submitted,03/04/2023 19:39:00
R00007,In Progress,03/04/2023 19:40:00
R00007,Delivered,03/04/2023 19:54:00
R00008,Submitted,03/05/2023 14:03:00
R00008,In Progress,03/05/2023 14:04:00
R00008,Delivered,03/05/2023 14:19:00
R00009,Submitted,05/05/2023 21:25:00
R00009,In Progress,05/05/2023 21:28:00
R00009,Delivered,05/05/2023 21:35:00
R00010,Submitted,12/04/2023 20:12:00
R00010,In Progress,12/04/2023 20:16:00
R00010,Delivered,12/04/2023 20:24:00
R00011,Submitted,20/06/2023 14:28:00
R00011,In Progress,20/06/2023 14:31:00
R00011,Delivered,20/06/2023 14:43:00
R00012,Submitted,01/05/2023 18:04:00
R00012,In Progress,01/05/2023 18:09:00
R00012,Delivered,01/05/2023 18:23:00
R00013,Submitted,06/04/2023 12:20:00
R00013,In Progress,06/04/2023 12:21:00
R00013,Delivered,06/04/2023 12:30:00
R00014,Submitted,25/11/2023 17:38:00
R00014,In Progress,25/11/2023 17:44:00
R00014,Delivered,25/11/2023 17:50:00
R00015,Submitted,09/06/2023 10:27:00
R00015,In Progress,09/06/2023 10:29:00
R00015,Delivered,09/06/2023 10:45:00
R00016,Submitted,28/10/2023 13:04:00
R00016,In Progress,28/10/2023 13:05:00
R00016,Delivered,28/10/2023 13:22:00
R00017,Submitted,07/03/2023 16:36:00
R00017,In Progress,07/03/2023 16:41:00
R00017,Delivered,07/03/2023 16:50:00
R00018,Submitted,18/04/2023 10:33:00
R00018,In Progress,18/04/2023 10:37:00
R00018,Delivered,18/04/2023 10:49:00
R00019,Submitted,29/03/2023 17:27:00
R00019,In Progress,29/03/2023 17:29:00
R00019,Delivered,29/03/2023 17:46:00
R00020,Submitted,03/04/2023 20:26:00
R00020,In Progress,03/04/2023 20:27:00
R00020,Delivered,03/04/2023 20:36:00
R00021,Submitted,16/04/2023 11:36:00
R00021,In Progress,16/04/2023 11:39:00
R00021,Delivered,16/04/2023 11:49:00
R00022,Submitted,16/06/2023 17:15:00
R00022,In Progress,16/06/2023 17:16:00
R00022,Delivered,16/06/2023 17:30:00
R00023,Submitted,15/04/2023 20:41:00
R00023,In Progress,15/04/2023 20:47:00
R00023,Delivered,15/04/2023 20:51:00
R00024,Submitted,22/01/2023 10:17:00
R00024,In Progress,22/01/2023 10:18:00
R00024,Delivered,22/01/2023 10:29:00
R00025,Submitted,28/04/2023 18:07:00
R00025,In Progress,28/04/2023 18:11:00
R00025,Delivered,28/04/2023 18:24:00
R00026,Submitted,01/05/2023 12:17:00
R00026,In Progress,01/05/2023 12:22:00
R00026,Delivered,01/05/2023 12:34:00
R00027,Submitted,12/08/2023 17:37:00
R00027,In Progress,12/08/2023 17:39:00
R00027,Delivered,12/08/2023 17:52:00
R00028,Submitted,27/05/2023 14:14:00
R00028,In Progress,27/05/2023 14:17:00
R00028,Delivered,27/05/2023 14:27:00
R00029,Submitted,14/03/2023 20:39:00
R00029,In Progress,14/03/2023 20:40:00
R00029,Delivered,14/03/2023 20:51:00
R00030,Submitted,24/02/2023 15:38:00
R00030,In Progress,24/02/2023 15:39:00
R00030,Delivered,24/02/2023 15:56:00
R00031,Submitted,02/06/2023 13:30:00
R00031,In Progress,02/06/2023 13:36:00
R00031,Delivered,02/06/2023 13:40:00
R00032,Submitted,15/03/2023 15:20:00
R00032,In Progress,15/03/2023 15:25:00
R00032,Delivered,15/03/2023 15:38:00
R00033,Submitted,27/01/2023 17:23:00
R00033,In Progress,27/01/2023 17:24:00
R00033,Delivered,27/01/2023 17:39:00
R00034,Submitted,19/03/2023 13:42:00
R00034,In Progress,19/03/2023 13:48:00
R00034,Delivered,19/03/2023 13:57:00
R00035,Submitted,30/05/2023 21:16:00
R00035,In Progress,30/05/2023 21:22:00
R00035,Delivered,30/05/2023 21:34:00
R00036,Submitted,05/04/2023 20:11:00
R00036,In Progress,05/04/2023 20:17:00
R00036,Delivered,05/04/2023 20:28:00
R00037,Submitted,11/04/2023 18:15:00
R00037,In Progress,11/04/2023 18:19:00
R00037,Delivered,11/04/2023 18:30:00
R00038,Submitted,30/05/2023 17:10:00
R00038,In Progress,30/05/2023 17:12:00
R00038,Delivered,30/05/2023 17:29:00
R00039,Submitted,31/03/2023 14:21:00
R00039,In Progress,31/03/2023 14:24:00
R00039,Delivered,31/03/2023 14:31:00
R00040,Submitted,16/09/2023 10:41:00
R00040,In Progress,16/09/2023 10:47:00
R00040,Delivered,16/09/2023 10:51:00
R00041,Submitted,27/02/2023 12:17:00
R00041,In Progress,27/02/2023 12:19:00
R00041,Delivered,27/02/2023 12:28:00
R00042,Submitted,07/05/2023 21:08:00
R00042,In Progress,07/05/2023 21:13:00
R00042,Delivered,07/05/2023 21:21:00
R00043,Submitted,14/08/2023 21:31:00
R00043,In Progress,14/08/2023 21:33:00
R00043,Delivered,14/08/2023 21:43:00
R00044,Submitted,25/04/2023 18:41:00
R00044,In Progress,25/04/2023 18:46:00
R00044,Delivered,25/04/2023 19:00:00
R00045,Submitted,13/12/2023 17:23:00
R00045,In Progress,13/12/2023 17:25:00
R00045,Delivered,13/12/2023 17:35:00
R00046,Submitted,01/12/2023 12:11:00
