MemberID,Preference
M00162,Extra Onions
M00039,No Salt
M00001,Add Cheese
M00027,Extra Onions
M00003,No Salt
M00017,Extra Onions
M00253,Add Cheese
M00196,Extra Sauce
M00296,No Pickles
M00079,Extra Sauce
M00252,No Salt
M00052,No Salt
M00020,Extra Sauce
M00041,No Salt
M00161,No Pickles
M00162,No Salt
M00188,Extra Onions
M00222,No Pickles
M00052,Add Cheese
M00276,Add Cheese
M00272,Add Cheese
M00161,No Salt
M00244,Add Cheese
M00148,No Salt
M00064,No Pickles
M00013,Extra Sauce
M00025,No Pickles
M00044,Extra Onions
M00200,No Salt
M00068,Add Cheese
M00148,Add Cheese
M00069,Extra Sauce
M00292,No Salt
M00106,Extra Sauce
M00051,Extra Sauce
M00136,Add Cheese
M00012,No Pickles
M00044,Extra Sauce
M00263,Extra Sauce
M00058,Extra Onions
M00212,No Salt
M00247,Extra Onions
M00079,No Pickles
M00063,No Salt
M00039,Add Cheese
M00045,No Pickles
M00039,Extra Sauce
M00263,Extra Onions
M00253,Extra Onions
M00001,Extra Sauce
M00199,No Salt
M00181,Extra Onions
M00149,Extra Onions
M00279,No Salt
M00052,Extra Onions
M00287,Extra Sauce
M00200,Add Cheese
M00095,No Pickles
M00068,Extra Sauce
M00291,Extra Onions
M00251,Extra Onions
M00112,No Salt
M00161,Extra Onions
M00211,No Pickles
M00019,No Salt
M00163,No Salt
M00154,No Pickles
M00003,Add Cheese
M00114,Extra Sauce
M00177,Extra Sauce
M00054,Extra Sauce
M00129,No Salt
M00003,No Pickles
M00073,Extra Onions
M00073,Extra Sauce
M00279,Extra Onions
M00129,Add Cheese
M00073,No Pickles
M00039,Extra Onions
M00181,No Salt
M00219,No Pickles
M00220,Extra Onions
M00168,Extra Onions
M00299,Extra Sauce
M00247,No Salt
M00138,No Pickles
M00292,Extra Onions
M00058,Add Cheese
M00074,Extra Sauce
M00089,No Pickles
M00219,Extra Sauce
M00017,No Pickles
M00117,No Salt
M00017,No Salt
M00172,Extra Sauce
M00079,Add Cheese
M00133,Extra Onions
M00118,Add Cheese
M00181,No Pickles
M00203,Add Cheese
M00104,Extra Sauce
M00292,Add Cheese
M00189,No Salt
M00157,Extra Onions
M00259,Extra Onions
M00027,No Pickles
M00238,Extra Sauce
M00104,Extra Onions
M00287,No Pickles
M00276,Extra Sauce
M00177,Extra Onions
M00078,No Salt
M00074,No Pickles
M00002,No Pickles
M00112,Extra Onions
M00078,Extra Onions
M00296,Extra Onions
M00157,No Salt
M00019,No Pickles
M00002,Extra Sauce
M00200,Extra Sauce
M00095,Add Cheese
M00007,Extra Sauce
M00133,No Pickles
M00002,Add Cheese
M00078,Add Cheese
M00133,Add Cheese
M00180,Extra Sauce
M00292,Extra Sauce
M00106,Extra Onions
M00027,Add Cheese
M00272,No Pickles
M00172,No Salt
M00177,Add Cheese
M00129,Extra Onions
M00009,No Salt
M00002,Extra Onions
M00244,Extra Onions
M00186,Extra Sauce
M00117,Add Cheese
M00227,Extra Sauce
M00149,No Pickles
M00069,No Pickles
M00218,No Salt
M00134,Extra Onions
M00136,Extra Onions
M00095,Extra Sauce
M00220,No Pickles
M00167,Extra Onions
M00196,Extra Onions
M00247,Add Cheese
M00013,Add Cheese
M00277,Extra Onions
M00247,Extra Sauce
M00017,Add Cheese
M00184,No Salt
M00184,Extra Onions
M00134,No Pickles
M00227,Add Cheese
M00122,No Salt
M00064,No Salt
M00244,No Pickles
M00136,Extra Sauce
M00138,No Salt
M00047,No Pickles
M00279,No Pickles
M00265,Extra Onions
M00009,Add Cheese
M00007,Add Cheese
M00064,Extra Sauce
M00110,Extra Sauce
M00180,No Pickles
M00189,No Pickles
M00162,No Pickles
M00117,No Pickles
M00088,Add Cheese
M00134,Add Cheese
M00019,Add Cheese
M00296,Add Cheese
M00118,Extra Sauce
M00184,No Pickles
M00148,Extra Sauce
M00089,No Salt
